자치구,요일,대상연월,도착시간,출발 시군구 코드,도착 시군구 코드,나이,평균 이동 시간(분),이동인구(합)
동작구,월,19447576312,1403547,1874125255,1077193600,4143055,2780920,2633474.96
동작구,일,18637344884,1379596,1859229567,1032315200,3875380,2744470,2034054.5
동작구,토,22560506892,1651062,2266719296,1249617600,4743665,3346250,2882643.54
동작구,화,19542005580,1416372,1874292208,1082424000,4177285,2741410,2627799.81
마포구,금,26134058184,1912685,2611834960,1439800440,5334280,4066590,5042620.94
마포구,목,23035888496,1663838,2242422960,1269113360,4744485,3356260,3869966.03
마포구,수,22721259072,1640006,2202756766,1251779520,4683195,3268470,3820725.71
마포구,월,22494790592,1611840,2188957479,1239302720,4635850,3335210,3748043.9
마포구,일,21509854908,1583492,2156468670,1185039780,4264310,3293920,3119898.91
마포구,토,25755127888,1885003,2605333856,1418924080,5182175,3993000,4751030.84
마포구,화,22622381316,1627034,2191963442,1246332060,4673340,3271990,3816436.29
서대문구,금,21655239584,1559762,2079733912,1191978480,4526910,3322730,3447933.82
서대문구,목,19375187280,1369068,1821763021,1066476600,4076785,2831210,2774996.72
서대문구,수,19039124232,1342746,1779551798,1047978540,4016460,2731060,2749436.78
서대문구,월,18933978152,1327865,1779545444,1042190940,3980360,2785900,2746490.27
서대문구,일,16957029644,1248572,1628326440,933372930,3457865,2536940,1926804.81
서대문구,토,20602969968,1501434,1999780761,1134057960,4253195,3144160,2772733.41
서대문구,화,18971385892,1336767,1776479408,1044249990,4008025,2737380,2770064.73
서초구,금,31980584640,2277707,3462134463,1774555200,6839065,5006000,6663872.39
서초구,목,28984932380,2042756,3095945409,1608330900,6252280,4322870,5290554.49
서초구,수,28435139704,1994085,3022900588,1577823720,6139790,4187440,5244095.37
서초구,월,28213524120,1964773,3007195120,1565526600,6090535,4221040,5132034.43
서초구,일,25067836492,1805679,2681855744,1390977060,5204225,3700420,3551422.28
서초구,토,30133653304,2137692,3260638887,1672071720,6330845,4574410,5343748.65
서초구,화,28350820636,1989350,3014988876,1573144980,6133650,4169510,5243454.53
성동구,금,22543521756,1626777,2164856692,1230838560,4713495,3447880,3638263.07
성동구,목,20057423576,1427102,1881075429,1095101760,4220095,2903320,2886782.01
성동구,수,19828124240,1408053,1851655969,1082582400,4183210,2819010,2878399.15
성동구,월,19701140128,1392820,1849235938,1075649280,4146555,2874850,2867069.79
성동구,일,18222220072,1338749,1756779971,994902720,3732545,2713940,2085081.25
성동구,토,21877866188,1589974,2131299619,1194494880,4530670,3325580,3063626.6
성동구,화,19759779288,1402981,1845839344,1078850880,4176090,2829300,2889635.21
성북구,금,21212817232,1574141,1974280272,1162380640,4458845,3272540,3698290.08
성북구,목,18793244168,1369495,1697493461,1029797360,3966965,2700940,2978538.93
성북구,수,18510158568,1348243,1662192900,1014285360,3919110,2623750,2987601.43
성북구,월,18476188296,1341184,1669760618,1012423920,3888755,2675510,2986993.91
성북구,일,18118287216,1349390,1717567927,992812320,3751280,2696760,2297398.44
성북구,토,21333735224,1581360,2026244663,1169006480,4464020,3221530,3206535.25
성북구,화,18499846164,1348371,1665264220,1013720280,3920080,2640760,2984903.5
송파구,금,30756239420,2243037,3392131601,1709660200,6490940,5173560,7721753.24
송파구,목,27225959784,1962984,2955431176,1513421040,5828540,4310240,5936768.86
송파구,수,26985943636,1940752,2921694861,1500079160,5785485,4237130,5891357.87
송파구,월,26718023336,1911463,2900480422,1485186160,5727765,4260930,5898767.33
송파구,일,25499946440,1867390,2808148039,1417476400,5221110,4108960,5030608.75
송파구,토,29857240436,2162826,3299020730,1659687160,6156255,4893140,7335078.32
송파구,화,26797691712,1927002,2902792361,1489614720,5761445,4201480,5928977.92
양천구,금,19690018908,1466598,1947997822,1085753550,4202295,2907870,3195285.45
양천구,목,17211604480,1267607,1660103959,949088000,3709080,2388660,2493223.42
양천구,수,16861184948,1242200,1621308370,929765050,3644090,2311870,2486844.74
양천구,월,16715193660,1224716,1610419961,921714750,3608450,2325870,2497433.04
양천구,일,16557272336,1224519,1672333095,913006600,3453970,2366250,2075064.5
양천구,토,19953086312,1473660,2016522262,1100259700,4196065,2899610,2956195.51
양천구,화,16827619084,1237169,1616791154,927914150,3639740,2312230,2490747.85
영등포구,금,28544532068,2059746,2931244574,1579658730,6073600,4338720,5499739.01
영등포구,목,25318367248,1804316,2547248159,1401122280,5447835,3615080,4300494.87
영등포구,수,25143865196,1784143,2523975550,1391465310,5422500,3577110,4295643.55
영등포구,월,24976844692,1768226,2515731767,1382222370,5372865,3650380,4276080.52
영등포구,일,23994942068,1741099,2466234283,1327883730,4964130,3593840,3375135.67
영등포구,토,28379735808,2058818,2956809281,1570538880,5947835,4277230,4809777.94
영등포구,화,24905466680,1769507,2501599506,1378272300,5383205,3537820,4279076.28
용산구,금,23555350572,1701161,2329363769,1284917790,4926840,3572430,3167455.75
용산구,목,20534827220,1457039,1974920728,1120151650,4351855,2953720,2426418.24
용산구,수,20177734956,1425858,1929665885,1100672670,4277995,2850930,2393452.83
용산구,월,19876046588,1398211,1899161613,1084215910,4219135,2851910,2332270.49
용산구,일,19018499424,1382063,1868768439,1037437680,3873825,2785890,2052382.12
용산구,토,22967341340,1663572,2288767495,1252842550,4715635,3451230,3023038.88
용산구,화,20016578368,1414031,1915551479,1091881760,4261650,2839930,2384571.8
은평구,금,19113333100,1437383,1877846323,1051118000,4139315,3007930,3595089.25
은평구,목,16587198528,1230119,1587791833,912195840,3632885,2447330,2810213.95
은평구,수,16365987352,1210874,1561588879,900030560,3592180,2373580,2814556.12
은평구,월,16271962492,1200122,1563212907,894859760,3563085,2406580,2848011.9
은평구,일,16199169052,1210191,1634296552,890856560,3453380,2518910,2320798.78
은평구,토,19809319268,1472587,1987334173,1089393040,4254625,3103610,3342033.62
